iter	Passed	Remaining
665	29012	18905
666	29065	18868
667	29113	18828
668	29165	18789
669	29214	18749
670	29263	18709
671	29314	18670
672	29376	18638
673	29424	18597
674	29474	18557
675	29529	18521
676	29584	18485
677	29641	18449
678	29706	18418
679	29764	18384
680	29828	18352
681	29890	18320
682	29948	18285
683	30010	18252
684	30059	18211
685	30109	18171
686	30167	18135
687	30224	18099
688	30278	18061
689	30329	18022
690	30381	17982
691	30433	17943
692	30488	17906
693	30538	17865
694	30596	17829
695	30650	17791
696	30707	17754
697	30768	17720
698	30825	17683
699	30861	17635
700	30909	17593
701	30954	17549
702	30993	17502
703	31031	17455
704	31072	17409
705	31108	17360
706	31152	17316
707	31192	17270
708	31231	17223
709	31274	17178
710	31315	17133
711	31351	17085
712	31387	17036
713	31424	16988
714	31465	16943
715	31505	16896
716	31545	16850
717	31584	16804
718	31629	16760
719	31674	16716
720	31709	16668
721	31754	16625
722	31795	16579
723	31837	16534
724	31882	16490
725	31923	16445
726	31976	16406
727	32019	16361
728	32054	16312
729	32096	16268
730	32131	16219
731	32172	16173
732	32212	16128
733	32250	16081
734	32289	16035
735	32331	15990
736	32371	15944
737	32412	15898
738	32450	15852
739	32500	15810
740	32540	15765
741	32578	15718
742	32621	15674
743	32664	15629
744	32699	15581
745	32743	15537
746	32781	15491
747	32817	15443
748	32854	15396
749	32896	15351
750	32933	15304
751	32973	15259
752	33014	15213
753	33050	15166
754	33089	15120
755	33126	15073
756	33164	15026
757	33204	14981
758	33244	14935
759	33283	14889
760	33335	14849
761	33374	14803
762	33426	14763
763	33502	14734
764	33544	14689
765	33583	14643
766	33622	14597
767	33667	14554
768	33713	14511
769	33751	14464
770	33790	14419
771	33829	14373
772	33876	14330
773	33918	14286
774	33954	14238
775	33998	14195
776	34048	14154
777	34102	14114
778	34153	14073
779	34196	14029
780	34238	13984
781	34282	13941
782	34330	13898
783	34368	13852
784	34408	13807
785	34452	13763
786	34489	13717
787	34528	13671
788	34568	13625
789	34602	13578
790	34643	13533
791	34680	13487
792	34717	13440
793	34754	13394
794	34793	13348
795	34837	13304
796	34901	13268
797	34942	13223
798	34987	13180
799	35026	13134
800	35064	13089
801	35105	13044
802	35144	12998
803	35187	12954
804	35223	12908
805	35264	12863
806	35302	12817
807	35339	12771
808	35381	12726
809	35424	12682
810	35465	12638
811	35509	12594
812	35561	12553
813	35603	12509
814	35643	12464
815	35684	12419
816	35719	12372
817	35764	12329
818	35826	12292
819	35873	12249
820	35913	12204
821	35954	12159
822	35997	12115
823	36036	12070
824	36072	12024
825	36110	11978
826	36148	11933
827	36185	11887
828	36225	11842
829	36262	11796
830	36304	11752
831	36340	11705
832	36379	11660
833	36420	11616
834	36464	11572
835	36519	11532
836	36574	11492
837	36625	11450
838	36683	11411
839	36722	11366
840	36760	11321
841	36800	11276
842	36849	11234
843	36905	11194
844	36954	11151
845	37005	11110
846	37052	11067
847	37110	11028
848	37171	10989
849	37238	10952
850	37296	10912
851	37349	10871
852	37411	10833
853	37469	10793
854	37522	10752
855	37572	10709
856	37627	10669
857	37684	10628
858	37741	10588
859	37793	10546
860	37844	10504
861	37925	10471
862	37969	10427
863	38026	10386
864	38083	10346
865	38134	10304
866	38194	10264
867	38247	10222
868	38295	10179
869	38347	10137
870	38402	10096
871	38464	10057
872	38516	10015
873	38571	9973
874	38630	9933
875	38684	9891
876	38736	9849
877	38801	9810
878	38847	9767
879	38904	9726
880	38956	9683
881	39008	9641
882	39058	9598
883	39110	9556
884	39168	9515
885	39225	9474
886	39277	9431
887	39331	9390
888	39393	9349
889	39444	9307
890	39497	9264
891	39552	9223
892	39604	9180
893	39659	9138
894	39713	9096
895	39771	9055
896	39822	9012
897	39878	8970
898	39935	8928
899	39989	8886
900	40038	8843
901	40092	8800
902	40147	8758
903	40209	8717
904	40262	8675
905	40318	8633
906	40366	8589
907	40414	8545
908	40464	8502
909	40520	8460
910	40576	8418
911	40637	8377
912	40698	8335
